,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
775851,10/17/2015,3:37,MANHATTAN,10035,40.8011399,-73.937687,"(40.8011399, -73.937687)",EAST 121 STREET                 ,3 AVENUE                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3316807,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
777965,10/13/2015,10:23,MANHATTAN,10030,40.8178547,-73.947668,"(40.8178547, -73.947668)",ST NICHOLAS AVENUE              ,WEST 136 STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3314007,OTHER,VAN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
782727,10/06/2015,16:35,MANHATTAN,10018,40.7607762,-74.0021839,"(40.7607762, -74.0021839)",JOE DIMAGGIO HIGHWAY            ,WEST 40 STREET                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3309704,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
782980,10/06/2015,6:46,MANHATTAN,10025,40.7972493,-73.9680399,"(40.7972493, -73.9680399)",AMSTERDAM AVENUE                ,WEST 101 STREET                 ,0,0,0,0,0,0,0,0,Brakes Defective,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3310435,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
784781,10/03/2015,9:50,MANHATTAN,10033,40.850189,-73.9396363,"(40.850189, -73.9396363)",PINEHURST AVENUE                ,WEST 180 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3308009,OTHER,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
789218,09/25/2015,13:45,MANHATTAN,10035,40.797932,-73.9339915,"(40.797932, -73.9339915)",EAST 119 STREET                 ,1 AVENUE                        ,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3303149,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,MOTORCYCLE,PASSENGER VEHICLE
794173,09/17/2015,14:30,MANHATTAN,10024,40.788358,-73.9745227,"(40.788358, -73.9745227)",WEST 87 STREET                  ,AMSTERDAM AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3298828,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
794565,09/17/2015,5:30,MANHATTAN,10033,40.8448454,-73.9351811,"(40.8448454, -73.9351811)",WEST 175 STREET                 ,AUDUBON AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3298098,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
798283,09/11/2015,23:15,MANHATTAN,10002,40.7107554,-74.0091619,"(40.7107554, -74.0091619)",EAST BROADWAY                   ,CLINTON STREET                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3294961,OTHER,MOTORCYCLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
803936,09/02/2015,1:20,MANHATTAN,10030,40.8178464,-73.9418441,"(40.8178464, -73.9418441)",WEST 139 STREET                 ,7 AVENUE                        ,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3289370,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
809409,08/24/2015,5:15,MANHATTAN,10029,40.7992856,-73.9453602,"(40.7992856, -73.9453602)",EAST 115 STREET                 ,MADISON AVENUE                  ,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3283259,OTHER,VAN,VAN,SPORT UTILITY / STATION WAGON,VAN
818631,08/09/2015,6:20,MANHATTAN,10009,40.7215948,-73.9747647,"(40.7215948, -73.9747647)",EAST 6 STREET                   ,ROOSEVELT DRIVE                 ,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Unspecified,Unspecified,Unspecified,3273944,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
840651,07/04/2015,3:20,MANHATTAN,10026,40.8033301,-73.9487269,"(40.8033301, -73.9487269)",WEST 118 STREET                 ,LENOX AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3254195,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
850426,06/19/2015,7:00,MANHATTAN,10032,40.8364695,-73.9370251,"(40.8364695, -73.9370251)",EDGECOMBE AVENUE                ,WEST 164 STREET                 ,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,Unspecified,Unspecified,Unspecified,3243422,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
864345,05/27/2015,16:50,MANHATTAN,10032,40.834114,-73.941118,"(40.834114, -73.941118)",WEST 159 STREET                 ,AMSTERDAM AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3228879,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
882501,04/28/2015,8:00,MANHATTAN,10018,40.752316,-73.9859454,"(40.752316, -73.9859454)",WEST 38 STREET                  ,6 AVENUE                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3210382,VAN,VAN,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
883024,04/27/2015,3:30,MANHATTAN,10032,40.840482,-73.9364647,"(40.840482, -73.9364647)",WEST 169 STREET                 ,AMSTERDAM AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3209885,PASSENGER VEHICLE,VAN,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
883599,04/26/2015,9:30,MANHATTAN,10030,40.8146335,-73.9441916,"(40.8146335, -73.9441916)",WEST 134 STREET                 ,7 AVENUE                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3209882,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
